id_left,namecol_left,namealt_left,id_right,namecol_right,namealt_right,intersection_pct
bid,0.0,NA,bid,33.0,NA,0.1
bid,0.0,NA,cc,2,NA,99.6
bid,0.0,NA,cc,26,NA,100
bid,0.0,NA,cd,105,NA,38.3
bid,0.0,NA,cd,106,NA,15.3
bid,0.0,NA,cd,401,NA,11.5
bid,0.0,NA,cd,402,NA,88.5
bid,0.0,NA,dsny,MN03,103,19.6
bid,0.0,NA,dsny,QW01,401,11.5
bid,0.0,NA,dsny,QW02,402,88.5
bid,0.0,NA,fb,39,NA,48.8
bid,0.0,NA,fb,44,NA,51.2
bid,0.0,NA,fb,45,NA,100
bid,0.0,NA,fb,6,NA,100
bid,0.0,NA,hc,14,NA,48.1
bid,0.0,NA,hc,41,NA,100
bid,0.0,NA,hd,Ladies' Mile Historic District,NA,1.6
bid,0.0,NA,ibz,Long Island City,NA,52.9
bid,0.0,NA,nta,Chelsea-Hudson Yards,MN0401,79.3
bid,0.0,NA,nta,Greenwich Village,MN0202,26.8
bid,0.0,NA,nta,Harlem (South),MN1001,88.7
bid,0.0,NA,nta,Long Island City-Hunters Point,QN0201,70.3
bid,0.0,NA,nta,Queensbridge-Ravenswood-Dutch Kills,QN0105,7.2
bid,0.0,NA,nta,Sunnyside,QN0202,17.5
bid,0.0,NA,nta,Sunnyside Yards (North),QN0161,4.7
bid,0.0,NA,nta,Sunnyside Yards (South),QN0261,0.3
bid,0.0,NA,nycongress,7,NA,100
bid,0.0,NA,pp,108,NA,88.5
bid,0.0,NA,pp,114,NA,11.5
bid,0.0,NA,pp,14,NA,5
bid,0.0,NA,sa,36,NA,38.3
bid,0.0,NA,sa,37,NA,61.6
bid,0.0,NA,sa,74,NA,32.9
bid,0.0,NA,sd,2,NA,80.4
bid,0.0,NA,sd,24,NA,13.4
bid,0.0,NA,sd,30,NA,86.6
bid,0.0,NA,ss,12,NA,34.9
bid,0.0,NA,ss,27,NA,46.4
bid,0.0,NA,ss,28,NA,25.1
bid,0.0,NA,ss,30,NA,100
bid,0.0,NA,ss,59,NA,65
bid,0.0,NA,zipcode,10001,NA,37.1
bid,0.0,NA,zipcode,10003,NA,78.8
bid,0.0,NA,zipcode,10018,NA,46.3
bid,0.0,NA,zipcode,10036,NA,16.5
bid,0.0,NA,zipcode,11101,NA,100
bid,0.0,NA,zipcode,11207,NA,22.4
bid,1.0,NA,fb,14,NA,85.4
bid,1.0,NA,fb,17,NA,14.6
bid,1.0,NA,hc,22,NA,48.5
bid,1.0,NA,hd,Grand Concourse Historic District,NA,38.2
bid,1.0,NA,sa,77,NA,7.7
bid,1.0,NA,sa,79,NA,46.9
bid,1.0,NA,sa,84,NA,45.4
bid,1.0,NA,ss,29,NA,24.7
bid,1.0,NA,zipcode,10451,NA,71.5
bid,1.0,NA,zipcode,10452,NA,28.5
bid,10.0,NA,zipcode,10457,NA,2.1
bid,10.0,NA,zipcode,10460,NA,2.7
bid,11.0,NA,cd,313,NA,100
bid,12.0,NA,bid,66.0,NA,15.4
bid,12.0,NA,fb,7,NA,20.1
bid,12.0,NA,fb,8,NA,79.9
bid,12.0,NA,hc,15,NA,83
bid,12.0,NA,sa,75,NA,93.7
bid,12.0,NA,zipcode,10018,NA,16
bid,12.0,NA,zipcode,10036,NA,77.7
bid,13.0,NA,cd,209,NA,74.1
bid,13.0,NA,nta,Castle Hill-Unionport,BX0903,53.2
bid,13.0,NA,nta,Parkchester,BX0904,20.8
bid,13.0,NA,sd,11,NA,46.8
bid,14.0,NA,bid,58.0,NA,0.3
bid,14.0,NA,cd,102,NA,24.8
bid,14.0,NA,dsny,MN01,101,8.2
bid,14.0,NA,dsny,MN03,103,67
bid,14.0,NA,fb,2,NA,9.3
bid,14.0,NA,fb,4,NA,82.5
bid,14.0,NA,hc,15,NA,53.8
bid,14.0,NA,hd,SoHo-Cast Iron Historic District Extension,NA,1.9
bid,14.0,NA,hd,Tribeca East Historic District,NA,2.9
bid,14.0,NA,nta,Chinatown-Two Bridges,MN0301,65.2
bid,14.0,NA,pp,5,NA,95.1
bid,14.0,NA,pp,7,NA,4.9
bid,14.0,NA,zipcode,10002,NA,43.8
bid,14.0,NA,zipcode,10013,NA,53.5
bid,14.0,NA,zipcode,10038,NA,2.7
bid,15.0,NA,cd,314,NA,98.6
bid,15.0,NA,fb,38,NA,6.6
bid,15.0,NA,hc,35,NA,100
bid,15.0,NA,hd,Albemarle-Kenmore Terraces Historic District,NA,0.1
bid,15.0,NA,nta,East Flatbush-Erasmus,BK1701,28.2
bid,15.0,NA,nta,Flatbush,BK1401,60
bid,15.0,NA,sa,42,NA,84.3
bid,15.0,NA,sa,43,NA,15.7
bid,15.0,NA,ss,20,NA,26.1
bid,15.0,NA,ss,21,NA,73.9
bid,15.0,NA,zipcode,11218,NA,4.9
bid,15.0,NA,zipcode,11226,NA,95.1
bid,16.0,NA,hd,Morningside Heights Historic District,NA,0.4
bid,16.0,NA,nta,Upper West Side-Manhattan Valley,MN0703,90.6
bid,16.0,NA,ss,30,NA,71
bid,17.0,NA,hc,15,NA,14.6
bid,17.0,NA,hd,Central Park West - West 73rd - 74th Street Historic District,NA,1.2
bid,17.0,NA,hd,Upper West Side/Central Park West Historic District,NA,98.8
bid,17.0,NA,sa,67,NA,91.2
bid,17.0,NA,sa,69,NA,5.1
bid,17.0,NA,sa,75,NA,3.8
bid,17.0,NA,zipcode,10023,NA,24.3
bid,17.0,NA,zipcode,10024,NA,75.7
bid,18.0,NA,fb,31,NA,58.5
bid,18.0,NA,fb,32,NA,41.5
bid,18.0,NA,hd,Borough Hall Skyscraper Historic District,NA,5.7
bid,18.0,NA,hd,Brooklyn Heights Historic District,NA,0.2
bid,18.0,NA,nta,Downtown Brooklyn-DUMBO-Boerum Hill,BK0202,72.1
bid,18.0,NA,nycongress,7,NA,15.3
bid,18.0,NA,sd,15,NA,86.4
bid,18.0,NA,zipcode,11201,NA,79
bid,18.0,NA,zipcode,11217,NA,21
bid,2.0,NA,ibz,Jamaica,NA,80.7
bid,2.0,NA,nta,Jamaica,QN1201,15.7
bid,2.0,NA,nta,South Jamaica,QN1202,84.3
bid,20.0,NA,fb,52,NA,99.6
bid,20.0,NA,sd,25,NA,99.6
bid,20.0,NA,zipcode,11354,NA,72.9
bid,20.0,NA,zipcode,11355,NA,27.1
bid,21.0,NA,cc,24,NA,0.1
bid,21.0,NA,cc,27,NA,99.8
bid,21.0,NA,cc,29,NA,0.1
bid,21.0,NA,dsny,QE12,412,100
bid,21.0,NA,sa,24,NA,0.1
bid,21.0,NA,sa,29,NA,19.7
bid,21.0,NA,sa,32,NA,80.2
bid,21.0,NA,sd,29,NA,4.8
bid,21.0,NA,zipcode,11432,NA,48.4
bid,21.0,NA,zipcode,11435,NA,48
bid,22.0,NA,cc,1,NA,100
bid,22.0,NA,dsny,MN01,101,100
bid,22.0,NA,fb,1,NA,100
bid,22.0,NA,hc,15,NA,100
bid,22.0,NA,hd,Fraunces Tavern Block Historic District,NA,0.3
bid,22.0,NA,hd,Stone Street Historic District,NA,0.5
bid,22.0,NA,nta,Financial District-Battery Park City,MN0101,80.5
bid,22.0,NA,nta,The Battery-Governors Island-Ellis Island-Liberty Island,MN0191,11.3
bid,22.0,NA,nta,Tribeca-Civic Center,MN0102,8.2
bid,22.0,NA,pp,1,NA,100
bid,22.0,NA,sa,61,NA,55.6
bid,22.0,NA,sa,65,NA,35.4
bid,22.0,NA,sd,2,NA,100
bid,22.0,NA,zipcode,10004,NA,29.5
bid,22.0,NA,zipcode,10005,NA,16.4
bid,22.0,NA,zipcode,10006,NA,22.1
bid,22.0,NA,zipcode,10038,NA,18.6
bid,22.0,NA,zipcode,10280,NA,2.7
bid,23.0,NA,cc,1,NA,0.5
bid,23.0,NA,cc,33,NA,98.8
bid,23.0,NA,cd,302,NA,99.3
bid,23.0,NA,dsny,BKN02,302,99.3
bid,23.0,NA,fb,32,NA,99.3
bid,23.0,NA,hc,15,NA,0.5
bid,23.0,NA,hc,36,NA,98.8
bid,23.0,NA,hd,DUMBO Historic District,NA,28.3
bid,23.0,NA,hd,Fulton Ferry Historic District,NA,14.3
bid,23.0,NA,hd,Vinegar Hill Historic District,NA,0.1
bid,23.0,NA,nta,Downtown Brooklyn-DUMBO-Boerum Hill,BK0202,98.8
bid,23.0,NA,nta,Financial District-Battery Park City,MN0101,0.5
bid,23.0,NA,nycongress,10,NA,97.3
bid,23.0,NA,nycongress,7,NA,2
bid,23.0,NA,pp,84,NA,99.3
bid,23.0,NA,sa,52,NA,98.8
bid,23.0,NA,sa,65,NA,0.5
bid,23.0,NA,sd,13,NA,99.3
bid,23.0,NA,ss,26,NA,99.3
bid,23.0,NA,zipcode,11201,NA,98.8
bid,24.0,NA,cc,4,NA,88.2
bid,24.0,NA,cc,5,NA,11.8
bid,24.0,NA,cd,106,NA,46.3
bid,24.0,NA,fb,10,NA,23.9
bid,24.0,NA,fb,8,NA,73.5
bid,24.0,NA,fb,9,NA,2.6
bid,24.0,NA,hd,Treadwell Farm Historic District,NA,0.2
bid,24.0,NA,hd,Upper East Side Historic District,NA,0.1
bid,24.0,NA,nta,East Midtown-Turtle Bay,MN0604,62.4
bid,24.0,NA,nta,Midtown-Times Square,MN0502,13.7
bid,24.0,NA,zipcode,10017,NA,3.9
bid,24.0,NA,zipcode,10022,NA,82.3
bid,24.0,NA,zipcode,10065,NA,13.8
bid,25.0,NA,cc,37,NA,91.9
bid,25.0,NA,fb,39,NA,12.7
bid,25.0,NA,hc,34,NA,5.5
bid,25.0,NA,ibz,East New York,NA,98.3
bid,25.0,NA,nycongress,8,NA,91.6
bid,25.0,NA,sa,55,NA,87.6
bid,25.0,NA,sa,60,NA,12.4
bid,25.0,NA,sd,19,NA,92
bid,25.0,NA,sd,23,NA,8
bid,26.0,NA,dsny,BKN02,302,100
bid,26.0,NA,fb,31,NA,38.5
bid,26.0,NA,fb,57,NA,61.5
bid,26.0,NA,hd,Brooklyn Academy of Music Historic District,NA,2.3
bid,26.0,NA,hd,Clinton Hill Historic District,NA,0.1
bid,26.0,NA,hd,Fort Greene Historic District,NA,1
bid,26.0,NA,nta,Clinton Hill,BK0204,29
bid,26.0,NA,nycongress,7,NA,15.3
bid,26.0,NA,nycongress,8,NA,83
bid,26.0,NA,sd,15,NA,12
bid,26.0,NA,ss,25,NA,75.1
bid,26.0,NA,ss,26,NA,24.9
bid,26.0,NA,zipcode,11238,NA,69.9
bid,27.0,NA,sa,73,NA,51.3
bid,27.0,NA,sa,75,NA,48.7
bid,27.0,NA,zipcode,10017,NA,6.9
bid,27.0,NA,zipcode,10036,NA,4.1
bid,27.0,NA,zipcode,10065,NA,3.6
bid,28.0,NA,sd,22,NA,100
bid,29.0,NA,cc,3,NA,56.9
bid,29.0,NA,cc,4,NA,2
bid,29.0,NA,cd,105,NA,91.9
bid,29.0,NA,cd,106,NA,4.1
bid,29.0,NA,dsny,MN05,105,91.9
bid,29.0,NA,dsny,MN06,106,4.1
bid,29.0,NA,fb,6,NA,26.8
bid,29.0,NA,fb,7,NA,48.3
bid,29.0,NA,fb,8,NA,24.9
bid,29.0,NA,hc,14,NA,14.9
bid,29.0,NA,hc,15,NA,85.1
bid,29.0,NA,hd,Gramercy Park Historic District,NA,0.4
bid,29.0,NA,hd,Ladies' Mile Historic District,NA,23.5
bid,29.0,NA,hd,Madison Square North Historic District,NA,10.2
bid,29.0,NA,nta,Chelsea-Hudson Yards,MN0401,4
bid,29.0,NA,nta,Murray Hill-Kips Bay,MN0603,2.5
bid,29.0,NA,pp,13,NA,80.8
bid,29.0,NA,pp,14,NA,19.2
bid,29.0,NA,sa,73,NA,0.9
bid,29.0,NA,sa,74,NA,43.7
bid,29.0,NA,sa,75,NA,55.4
bid,29.0,NA,sd,2,NA,100
bid,29.0,NA,ss,28,NA,84.9
bid,29.0,NA,ss,47,NA,0.7
bid,29.0,NA,ss,59,NA,14.5
bid,29.0,NA,zipcode,10001,NA,18.6
bid,29.0,NA,zipcode,10010,NA,53.9
bid,29.0,NA,zipcode,10011,NA,6.7
bid,3.0,NA,cc,3,NA,76.9
bid,3.0,NA,cc,4,NA,23.1
bid,3.0,NA,dsny,MN05,105,65.3
bid,3.0,NA,fb,7,NA,88.8
bid,3.0,NA,nta,Chelsea-Hudson Yards,MN0401,34.6
bid,3.0,NA,nta,Midtown South-Flatiron-Union Square,MN0501,55.1
bid,3.0,NA,nta,Midtown-Times Square,MN0502,10.3
bid,3.0,NA,pp,10,NA,12.5
bid,3.0,NA,pp,14,NA,87.3
bid,3.0,NA,sa,75,NA,91.6
bid,3.0,NA,ss,28,NA,60.3
bid,3.0,NA,ss,47,NA,39.7
bid,3.0,NA,zipcode,10001,NA,88.9
bid,30.0,NA,cc,14,NA,7.6
bid,30.0,NA,cd,206,NA,78.2
bid,30.0,NA,cd,207,NA,15.9
bid,30.0,NA,dsny,BX06,206,78.2
bid,30.0,NA,dsny,BX07,207,15.9
bid,30.0,NA,fb,18,NA,82.4
bid,30.0,NA,fb,19,NA,3.6
bid,30.0,NA,fb,27,NA,14
bid,30.0,NA,hc,25,NA,2.8
bid,30.0,NA,nta,Belmont,BX0603,83.5
bid,30.0,NA,nycongress,13,NA,16.7
bid,30.0,NA,nycongress,15,NA,83.3
bid,30.0,NA,pp,46,NA,6
bid,30.0,NA,pp,48,NA,80.3
bid,30.0,NA,pp,52,NA,13.8
bid,30.0,NA,sa,78,NA,95.1
bid,30.0,NA,sa,80,NA,0.4
bid,30.0,NA,sd,10,NA,100
bid,30.0,NA,ss,33,NA,98
bid,30.0,NA,zipcode,10458,NA,92.4
bid,31.0,NA,dsny,SI01,501,100
bid,31.0,NA,ss,23,NA,58.2
bid,31.0,NA,ss,24,NA,41.8
bid,31.0,NA,zipcode,10310,NA,72
bid,32.0,NA,bid,48.0,NA,14.2
bid,32.0,NA,fb,31,NA,94.7
bid,32.0,NA,hc,36,NA,33.6
bid,32.0,NA,nta,Downtown Brooklyn-DUMBO-Boerum Hill,BK0202,94.9
bid,32.0,NA,nta,Fort Greene,BK0203,5.1
bid,32.0,NA,sd,15,NA,56.9
bid,33.0,NA,bid,0.0,NA,0.1
bid,33.0,NA,bid,66.0,NA,0.1
bid,33.0,NA,cc,4,NA,30.9
bid,33.0,NA,dsny,MN04,104,29.8
bid,33.0,NA,fb,7,NA,79.2
bid,33.0,NA,fb,8,NA,20.8
bid,33.0,NA,nta,Hell's Kitchen,MN0402,16.9
bid,33.0,NA,nycongress,12,NA,100
bid,33.0,NA,zipcode,10001,NA,5.9
bid,33.0,NA,zipcode,10018,NA,91.3
bid,33.0,NA,zipcode,10036,NA,2.8
bid,34.0,NA,cc,31,NA,87.2
bid,34.0,NA,ibz,JFK,NA,81.4
bid,34.0,NA,nycongress,5,NA,100
bid,34.0,NA,sd,27,NA,15.7
bid,34.0,NA,sd,29,NA,84.3
bid,34.0,NA,zipcode,11434,NA,77.2
bid,36.0,NA,cc,4,NA,100
bid,36.0,NA,cd,105,NA,69.9
bid,36.0,NA,cd,106,NA,30.1
bid,36.0,NA,fb,9,NA,5.6
bid,36.0,NA,hc,13,NA,75.5
bid,36.0,NA,hc,14,NA,8
bid,36.0,NA,hc,15,NA,16.5
bid,36.0,NA,hd,Tudor City Historic District,NA,0.4
bid,36.0,NA,nta,East Midtown-Turtle Bay,MN0604,36.2
bid,36.0,NA,nta,Midtown-Times Square,MN0502,44.9
bid,36.0,NA,nta,Murray Hill-Kips Bay,MN0603,18.9
bid,36.0,NA,pp,18,NA,33.1
bid,36.0,NA,sa,74,NA,1.7
bid,36.0,NA,sa,75,NA,4.7
bid,36.0,NA,ss,28,NA,89.1
bid,36.0,NA,ss,59,NA,10.9
bid,36.0,NA,zipcode,10016,NA,11.3
bid,36.0,NA,zipcode,10017,NA,67.4
bid,36.0,NA,zipcode,10018,NA,2.7
bid,37.0,NA,sa,53,NA,48.9
bid,37.0,NA,zipcode,11206,NA,33.6
bid,37.0,NA,zipcode,11211,NA,66.4
bid,38.0,NA,cc,1,NA,33.1
bid,38.0,NA,cc,3,NA,66.9
bid,38.0,NA,nta,SoHo-Little Italy-Hudson Square,MN0201,87.3
bid,38.0,NA,nta,West Village,MN0203,12.7
bid,38.0,NA,pp,1,NA,87.3
bid,38.0,NA,pp,6,NA,12.7
bid,38.0,NA,ss,27,NA,100
bid,38.0,NA,zipcode,10013,NA,55.7
bid,38.0,NA,zipcode,10014,NA,44.3
bid,4.0,NA,cd,403,NA,63.7
bid,4.0,NA,fb,46,NA,61.7
bid,4.0,NA,hd,Jackson Heights Historic District,NA,62.2
bid,40.0,NA,fb,15,NA,30.1
bid,40.0,NA,fb,27,NA,61.5
bid,41.0,NA,nycongress,13,NA,100
bid,41.0,NA,pp,50,NA,100
bid,42.0,NA,nta,Gravesend (East)-Homecrest,BK1501,56
bid,42.0,NA,sa,45,NA,89.9
bid,42.0,NA,sd,21,NA,56.6
bid,42.0,NA,sd,22,NA,43.4
bid,42.0,NA,zipcode,11229,NA,69.4
bid,43.0,NA,pp,5,NA,6.5
